,visitor_score,home_score,MOV,mov
1176,3,7,4,-4
1177,2,3,1,-1
1178,6,3,3,3
1179,4,1,3,3
1180,1,2,1,-1
1181,2,1,1,1
1182,2,3,1,-1
1183,3,0,3,3
1184,1,7,6,-6
1185,1,2,1,-1
1186,6,1,5,5
1187,5,3,2,2
1188,5,12,7,-7
1189,3,4,1,-1
1190,12,0,12,12
1191,3,6,3,-3
1192,0,2,2,-2
1193,0,3,3,-3
1194,0,5,5,-5
1195,5,3,2,2
1196,4,2,2,2
1197,3,9,6,-6
1198,4,5,1,-1
1199,1,6,5,-5
1200,8,6,2,2
1201,3,11,8,-8
1202,1,3,2,-2
1203,14,1,13,13
1204,1,4,3,-3
1205,1,3,2,-2
1206,11,8,3,3
1207,12,4,8,8
1208,0,1,1,-1
1209,12,5,7,7
1210,5,6,1,-1
1211,0,11,11,-11
1212,6,1,5,5
1213,3,1,2,2
1214,8,1,7,7
1215,7,4,3,3
1216,6,7,1,-1
1217,5,3,2,2
1218,3,1,2,2
1219,3,2,1,1
1220,14,3,11,11
1221,3,4,1,-1
1222,5,8,3,-3
1223,2,3,1,-1
1224,1,7,6,-6
1225,9,5,4,4
1226,2,9,7,-7
1227,9,12,3,-3
1228,3,1,2,2
1229,6,4,2,2
1230,5,6,1,-1
1231,9,3,6,6
1232,9,4,5,5
1233,6,5,1,1
1234,6,1,5,5
1235,8,6,2,2
1236,1,3,2,-2
1237,1,4,3,-3
1238,5,7,2,-2
1239,6,1,5,5
1240,3,2,1,1
1241,2,3,1,-1
1242,1,12,11,-11
1243,7,6,1,1
1244,6,4,2,2
1245,9,12,3,-3
1246,2,6,4,-4
1247,3,7,4,-4
1248,6,1,5,5
1249,0,3,3,-3
1250,6,3,3,3
1251,5,6,1,-1
1252,2,5,3,-3
1253,2,4,2,-2
1254,6,2,4,4
1255,7,3,4,4
1256,4,6,2,-2
1257,3,4,1,-1
1258,5,6,1,-1
1259,8,3,5,5
1260,7,8,1,-1
1261,3,6,3,-3
1262,4,0,4,4
1263,15,2,13,13
1264,3,1,2,2
1265,7,5,2,2
1266,6,7,1,-1
1267,0,1,1,-1
1268,3,1,2,2
1269,2,5,3,-3
1270,6,4,2,2
1271,1,8,7,-7
1272,4,10,6,-6
1273,2,4,2,-2
1274,0,2,2,-2
1275,2,3,1,-1
1276,9,3,6,6
1277,3,4,1,-1
1278,7,1,6,6
1279,2,8,6,-6
1280,3,7,4,-4
1281,6,5,1,1
1282,6,1,5,5
1283,9,3,6,6
1284,7,6,1,1
1285,14,3,11,11
1286,3,2,1,1
1287,8,10,2,-2
1288,8,0,8,8
